Date,Time,DateTime,Casino,Wallet Address,Amount,Token,USD Value
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000089,ETH,0.25
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000104,ETH,0.29
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000089,ETH,0.25
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000104,ETH,0.29
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000104,ETH,0.29
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.143237,ETH,401.06
2026-02-15,11:02:47,2026-02-15T11:02:47.000Z,Rainbet,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.164939,ETH,461.83
2026-02-15,11:02:47,2026-02-15T11:02:47.000Z,Rainbet,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.022984,ETH,64.35
2026-02-15,11:02:59,2026-02-15T11:02:59.000Z,Roobet,0xc94ebb328ac25b95db0e0aa968371885fa516215,23.206377,ETH,64977.86
2026-02-15,11:02:59,2026-02-15T11:02:59.000Z,Rainbet,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.387867,ETH,1086.03
2026-02-15,11:03:23,2026-02-15T11:03:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.021486,ETH,60.16
2026-02-15,11:03:23,2026-02-15T11:03:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.307176,ETH,860.09
2026-02-15,11:03:23,2026-02-15T11:03:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000108,ETH,0.30
2026-02-15,11:03:47,2026-02-15T11:03:47.000Z,Rainbet,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.078089,ETH,218.65
2026-02-15,11:04:35,2026-02-15T11:04:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.171712,ETH,480.79
2026-02-15,11:04:35,2026-02-15T11:04:35.000Z,Rollbit,0xcbd6832ebc203e49e2b771897067fce3c58575ac,0.048028,ETH,134.48
2026-02-15,11:04:35,2026-02-15T11:04:35.000Z,Rollbit,0xcbd6832ebc203e49e2b771897067fce3c58575ac,0.015701,ETH,43.96
2026-02-15,11:04:47,2026-02-15T11:04:47.000Z,Rollbit,0xcbd6832ebc203e49e2b771897067fce3c58575ac,0.040766,ETH,114.15
2026-02-15,11:05:11,2026-02-15T11:05:11.000Z,Rollbit,0xcbd6832ebc203e49e2b771897067fce3c58575ac,0.019234,ETH,53.85
2026-02-15,11:05:23,2026-02-15T11:05:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,1.098831,ETH,3076.73
2026-02-15,11:05:23,2026-02-15T11:05:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000086,ETH,0.24
2026-02-15,11:05:23,2026-02-15T11:05:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000086,ETH,0.24
2026-02-15,11:05:23,2026-02-15T11:05:23.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000086,ETH,0.24
2026-02-15,11:05:35,2026-02-15T11:05:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000097,ETH,0.27
2026-02-15,11:05:35,2026-02-15T11:05:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000097,ETH,0.27
2026-02-15,11:05:35,2026-02-15T11:05:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000097,ETH,0.27
2026-02-15,11:05:35,2026-02-15T11:05:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000097,ETH,0.27
2026-02-15,11:05:35,2026-02-15T11:05:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.960108,ETH,2688.30
2026-02-15,11:05:35,2026-02-15T11:05:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000097,ETH,0.27
2026-02-15,11:05:35,2026-02-15T11:05:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.087509,ETH,245.03
2026-02-15,11:05:35,2026-02-15T11:05:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.008097,ETH,22.67
2026-02-15,11:06:59,2026-02-15T11:06:59.000Z,Rollbit,0xcbd6832ebc203e49e2b771897067fce3c58575ac,0.097025,ETH,271.67
2026-02-15,11:07:35,2026-02-15T11:07:35.000Z,Rollbit,0xcbd6832ebc203e49e2b771897067fce3c58575ac,0.000163,ETH,0.46
2026-02-15,11:08:35,2026-02-15T11:08:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.315533,ETH,883.49
2026-02-15,11:08:35,2026-02-15T11:08:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.247020,ETH,691.66
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000094,ETH,0.26
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.508120,ETH,1422.74
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000094,ETH,0.26
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000084,ETH,0.24
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000094,ETH,0.26
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.003499,ETH,9.80
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000096,ETH,0.27
2026-02-15,11:09:11,2026-02-15T11:09:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000084,ETH,0.24
